,Country/Terretory,UN Region,Estimate1,Year1,Estimate2,Year2,Estimate3,Year3
169,Fiji,Oceania,"5,385",2023,"4,943",2022,"4,296",2021
170,Eswatini,Africa,"4,824",2023,"4,854",2022,"4,732",2021
171,Liberia,Africa,"4,375",2023,"4,001",2022,"2,445",2021
172,Djibouti,Africa,"3,916",2023,"3,515",2022,"3,701",2021
173,Andorra,Europe,"3,669",2023,"3,352",2022,"3,325",2021
174,Aruba,Americas,"3,633",2023,—,,"3,126",2021
175,Sierra Leone,Africa,"3,520",2023,"3,970",2022,"4,249",2021
176,Suriname,Americas,"3,470",2023,"3,621",2022,"3,224",2021
177,Burundi,Africa,"3,234",2023,"3,073",2022,"3,900",2021
178,Belize,Americas,"3,162",2023,"2,824",2022,"2,492",2021
179,Greenland,Americas,—,,—,,"3,273",2021
180,Central African Republic,Africa,"2,736",2023,"2,383",2022,"2,518",2021
181,Curaçao,Americas,—,,—,,"2,700",2021
182,Bhutan,Asia,"2,683",2023,—,,"2,381",2021
183,Eritrea,Africa,"2,666",2023,—,,"2,255",2021
184,Lesotho,Africa,"2,584",2023,"2,553",2022,"2,373",2021
185,Cape Verde,Africa,"2,468",2023,"2,315",2022,"1,936",2021
186,Gambia,Africa,"2,277",2023,"2,273",2022,"2,038",2021
187,Saint Lucia,Americas,"2,262",2023,"2,065",2022,"1,765",2021
188,East Timor,Asia,"1,988",2023,"3,163",2022,"2,004",2021
189,Seychelles,Africa,"1,950",2023,"1,588",2022,"1,287",2021
190,Guinea-Bissau,Africa,"1,887",2023,"1,634",2022,"1,563",2021
191,Antigua and Barbuda,Americas,"1,864",2023,"1,758",2022,"1,421",2021
192,San Marino,Europe,"1,807",2023,—,,"1,702",2021
193,Zanzibar,Africa,—,,—,,"2,080",2021
194,Solomon Islands,Oceania,"1,701",2023,"1,596",2022,"1,632",2021
195,British Virgin Islands,Americas,—,,—,,"1,539",2021
196,Comoros,Africa,"1,348",2023,"1,243",2022,"1,340",2021
197,Grenada,Americas,"1,274",2023,"1,256",2022,"1,115",2021
198,Vanuatu,Oceania,"1,064",2023,984,2022,981,2021
199,Saint Kitts and Nevis,Americas,"1,052",2023,962,2022,861,2021
200,Saint Vincent and the Grenadines,Americas,"1,039",2023,949,2022,881,2021
201,Turks and Caicos Islands,Americas,—,,"1,139",2022,943,2021
202,Samoa,Oceania,898,2023,832,2022,857,2021
203,Sint Maarten,Americas,—,,"1,572",2022,"1,154",2021
204,Dominica,Americas,681,2023,612,2022,548,2021
205,São Tomé and Príncipe,Africa,625,2023,547,2022,555,2021
206,Tonga,Oceania,541,2023,—,,472,2021
207,Micronesia,Oceania,456,2023,427,2022,404,2021
208,Marshall Islands,Oceania,291,2023,280,2022,257,2021
209,Cook Islands,Oceania,—,,—,,328,2021
210,Palau,Oceania,262,2023,—,,218,2021
211,Anguilla,Americas,—,,—,,303,2021
212,Kiribati,Oceania,248,2023,223,2022,227,2021
213,Nauru,Oceania,151,2023,151,2022,155,2021
214,Montserrat,Americas,—,,—,,72,2021
215,Tuvalu,Oceania,65,2023,60,2022,60,2021
